document_type,description,file_number
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0000891618-94-000021 Size: 109 KB,033-6231094502696
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-94-000002 Size: 233 KB,000-1003094502732
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950150-94-000252 Size: 14 KB,005-3363294505635
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000918983-94-000004 Size: 1 KB,005-3363294510471
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000918983-94-000005 Size: 5 KB,005-3363200000000
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950150-94-000392 Size: 11 KB,005-3363294514992
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-94-000008 Size: 18 KB,033-5389594531250
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-94-000009 Size: 24 KB,033-5387394531134
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-94-000013 Size: 138 KB,000-1003094543802
DEF 14A,Other definitive proxy statementsAcc-no: 0000891618-94-000258 Size: 61 KB,000-1003094564234
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000320193-94-000016 Size: 240 KB",000-1003094564347
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000320193-95-000001 Size: 54 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000732812-95-000061 Size: 11 KB,005-3363295505476
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000320193-95-000002 Size: 53 KB,
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-95-000003 Size: 132 KB,000-1003095506795
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000918983-95-000001 Size: 5 KB,005-3363295509709
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000732812-95-000305 Size: 11 KB,005-3363295518714
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000320193-95-000008 Size: 111 KB,000-1003095539148
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-95-000010 Size: 25 KB,033-6028195547438
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000320193-95-000009 Size: 17 KB,033-6027995547437
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-95-002900 Size: 14 KB,005-3363295552486
