Date,Open,High,Low,Close,Volume,Ex_Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,document_type,10-K,10-K405,10-Q,424B2,424B3,424B5,8-A12B,8-K,CERTNYS,CORRESP,DEF 14A,DEFA14A,DEFR14A,DFAN14A,FWP,NO ACT,NT 10-K,NT 10-Q,PRE 14A,PX14A6G,S-3,S-3ASR,S-4,S-8,SC 13D,SC 13G,SC TO-I,SD,UPLOAD
1994-01-26,33.75,34.0,33.25,33.5,1480400.0,0.0,1.0,1.0574818118501,1.0653150104564,1.0418154146375,1.0496486132438,41451200.0,424B5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-01-26,33.75,34.0,33.25,33.5,1480400.0,0.0,1.0,1.0574818118501,1.0653150104564,1.0418154146375,1.0496486132438,41451200.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-02-10,36.25,37.5,36.0,36.5,2696700.0,0.0,1.0,1.1395479802624,1.1788427382023998,1.1316890286743,1.1474069318504,75507600.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994-02-17,37.25,37.88,36.25,37.0,1296000.0,0.0,1.0,1.1709837866144,1.1907883446162,1.1395479802624,1.1631248350264,36288000.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994-02-18,36.5,37.0,36.25,36.25,1331000.0,0.0,1.0,1.1474069318504,1.1631248350264,1.1395479802624,1.1395479802624,37268000.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994-03-08,38.0,38.0,36.75,37.0,1661200.0,0.0,1.0,1.1945606413785,1.1945606413785,1.1552658834384,1.1631248350264,46513600.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994-05-27,30.25,30.75,29.5,29.94,970400.0,0.12,1.0,0.95474449742913,0.97052539821308,0.9310731462532,0.94496033894308,27171200.0,S-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1994-05-27,30.25,30.75,29.5,29.94,970400.0,0.12,1.0,0.95474449742913,0.97052539821308,0.9310731462532,0.94496033894308,27171200.0,S-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1994-08-12,34.38,35.13,33.88,34.75,1604000.0,0.0,1.0,1.0850947379046,1.1087660890805,1.0693138371206,1.0967726044847,44912000.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-12-12,36.38,36.75,35.5,36.5,2000700.0,0.0,1.0,1.1556537428012,1.1674072305647,1.127699501634,1.1594656847786,56019600.0,DEF 14A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
