document_type,description,file_number
S-3,Registration statement under Securities Act of 1933Acc-no: 0001193125-03-050215 Size: 134 KB,333-10884303897979
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-03-051346 Size: 604 KB,000-1427803901326
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-03-054772 Size: 309 KB,333-10918503913156
SC TO-I,Tender offer statement by IssuerAcc-no: 0001193125-03-062134 Size: 1 MB,005-3875803941411
S-3/A,[Amend] Registration statement under Securities Act of 1933Acc-no: 0001193125-03-063008 Size: 146 KB,333-10884303944484
S-3/A,[Amend] Registration statement under Securities Act of 1933Acc-no: 0001193125-03-063676 Size: 141 KB,333-10884303946940
POS AM,Post-Effective amendments for registration statementAcc-no: 0001193125-03-064164 Size: 110 KB,333-8979303948319
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001193125-03-064697 Size: 125 KB,005-3875803949727
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-03-064780 Size: 59 KB,000-1427803950042
8-K,"Current report, item 12
Acc-no: 0001193125-03-066282 Size: 162 KB",000-1427803954422
8-K,"Current report, item 5
Acc-no: 0001193125-03-066832 Size: 142 KB",000-1427803956223
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-03-067462 Size: 111 KB,333-10884303958068
S-3,Registration statement under Securities Act of 1933Acc-no: 0001193125-03-070130 Size: 123 KB,333-11010703967274
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001193125-03-072624 Size: 65 KB,005-3875803977369
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001193125-03-075364 Size: 98 KB,005-3875803986166
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-03-078591 Size: 69 KB,333-11010703994513
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001193125-03-078677 Size: 66 KB,005-3875803994893
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-03-080353 Size: 374 KB,000-1427803999290
8-K,"Current report, item 9
Acc-no: 0001193125-03-080369 Size: 7 MB",000-1427803999354
SC TO-I/A,[Amend] Tender offer statement by IssuerAcc-no: 0001193125-03-092714 Size: 21 KB,005-38758031049045
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-03-092718 Size: 113 KB,333-108843031049057
S-8 POS,"Securities to be offered to employees in employee benefit plans, post-effective amendmentsAcc-no: 0001193125-04-001023 Size: 42 KB",333-5285204509791
S-8 POS,"Securities to be offered to employees in employee benefit plans, post-effective amendmentsAcc-no: 0001193125-04-001019 Size: 40 KB",333-0629804509758
S-8 POS,"Securities to be offered to employees in employee benefit plans, post-effective amendmentsAcc-no: 0001193125-04-001011 Size: 41 KB",033-5158304509666
8-K,"Current report, item 12
Acc-no: 0001193125-04-007454 Size: 225 KB",000-1427804538175
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0001193125-04-014573 Size: 44 KB,
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-04-016249 Size: 721 KB,000-1427804573337
8-K,"Current report, item 9
Acc-no: 0001193125-04-016325 Size: 7 MB",000-1427804573907
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001104659-04-004810 Size: 54 KB,005-3875804609127
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-04-014952 Size: 1 KB",000-1427804021451
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-04-059935 Size: 46 KB,
8-K,"Current report, item 12
Acc-no: 0001193125-04-067650 Size: 270 KB",000-1427804748968
8-K,"Current report, item 12
Acc-no: 0001193125-04-071887 Size: 47 KB",000-1427804759359
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-04-076795 Size: 606 KB,000-1427804774252
8-K,"Current report, item 9
Acc-no: 0001193125-04-076818 Size: 6 MB",000-1427804774374
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-04-027051 Size: 1 KB",000-1427804033474
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-04-027052 Size: 1 KB",000-1427804033473
11-K,"[Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-04-027053 Size: 1 KB",000-1427804033472
11-K/A,"[Amend] [Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-04-029811 Size: 1 KB",000-1427804034288
11-K/A,"[Amend] [Paper]Annual report of employee stock purchase, savings and similar plansAcc-no: 9999999997-04-029742 Size: 1 KB",000-1427804034787
