document_type,description,file_number
REGDEX,"[Paper]Notice of Sale of Securities [Regulation D and Section 4(6) of the Securities Act of 1933], item 06
Acc-no: 9999999997-05-023236 (34 Act)  Size: 1 KB",021-7694505054385
REGDEX,"[Paper]Notice of Sale of Securities [Regulation D and Section 4(6) of the Securities Act of 1933], item 06
Acc-no: 9999999997-05-024304 (34 Act)  Size: 1 KB",021-7694505053751
REGDEX,"[Paper]Notice of Sale of Securities [Regulation D and Section 4(6) of the Securities Act of 1933], item 06
Acc-no: 9999999997-05-034797 (34 Act)  Size: 1 KB",021-7694505062893
REGDEX,"[Paper]Notice of Sale of Securities [Regulation D and Section 4(6) of the Securities Act of 1933], item 06
Acc-no: 9999999997-05-036190 (34 Act)  Size: 1 KB",021-7694505062946
REGDEX/A,"[Amend] [Paper]Notice of Sale of Securities [Regulation D and Section 4(6) of the Securities Act of 1933], item 06
Acc-no: 9999999997-05-038846 (34 Act)  Size: 1 KB",021-7694505066247
REGDEX,"[Paper]Notice of Sale of Securities [Regulation D and Section 4(6) of the Securities Act of 1933], item 06
Acc-no: 9999999997-06-019912 (34 Act)  Size: 1 KB",021-7694506035743
REGDEX/A,"[Amend] [Paper]Notice of Sale of Securities [Regulation D and Section 4(6) of the Securities Act of 1933], item 06
Acc-no: 9999999997-06-030858 (34 Act)  Size: 1 KB",021-7694506042267
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-08-043090 (34 Act)  Size: 1 KB,021-7694508058683
S-1,General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-034517 (33 Act)  Size: 5 MB,333-17928712563103
S-1/A,[Amend] General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-046715 (33 Act)  Size: 4 MB,333-17928712582350
S-1/A,[Amend] [Cover]General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-101422 (33 Act)  Size: 7 MB,333-17928712674993
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-12-014780 Size: 217 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-12-014938 Size: 123 KB,
S-1/A,[Amend] General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-134663 (33 Act)  Size: 5 MB,333-17928712717970
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-12-135034 Size: 145 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-12-018239 Size: 103 KB,
S-1/A,[Amend] [Cover]General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-175673 (33 Act)  Size: 6 MB,333-17928712773060
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-12-181321 Size: 51 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-12-022330 Size: 86 KB,
S-1/A,[Amend] [Cover]General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-208192 (33 Act)  Size: 6 MB,333-17928712809344
S-1/A,[Amend] General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-222368 (33 Act)  Size: 6 MB,333-17928712826586
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-12-222498 (34 Act)  Size: 21 KB,333-17928712826822
8-A12B,Registration of securities [Section 12(b)]Acc-no: 0001193125-12-230161 (34 Act)  Size: 14 KB,001-3555112837020
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-12-231717 Size: 36 KB,
CERTNAS,[Paper]Certification by the Nasdaq Stock Market approving securities for listingAcc-no: 9999999997-12-009505 (34 Act)  Size: 1 KB,001-3555112027125
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-12-233888 Size: 24 KB,
S-1/A,[Amend] [Cover]General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-232582 (33 Act)  Size: 6 MB,333-17928712840860
S-1/A,[Amend] [Cover]General form for registration of securities under the Securities Act of 1933Acc-no: 0001193125-12-235588 (33 Act)  Size: 6 MB,333-17928712847255
EFFECT,Notice of EffectivenessAcc-no: 9999999995-12-001584 (33 Act)  Size: 1 KB,333-17928712853793
CT ORDER,Confidential treatment orderAcc-no: 9999999997-12-009764 (33 Act)  Size: 10 KB,333-17928712853970
424B4,Prospectus [Rule 424(b)(4)]Acc-no: 0001193125-12-240111 (33 Act)  Size: 7 MB,333-17928712855943
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-12-241917 (33 Act)  Size: 710 KB,333-18156612859534
8-K,"Current report, item 5.02
Acc-no: 0001193125-12-282349 (34 Act)  Size: 14 KB",001-3555112924873
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001193125-12-316895 (34 Act)  Size: 325 KB",001-3555112987703
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-12-325997 (34 Act)  Size: 6 MB,001-3555112997372
CT ORDER,Confidential treatment orderAcc-no: 9999999997-12-012947 (34 Act)  Size: 11 KB,001-35551121055748
8-K,"Current report, items 5.02 and 8.01
Acc-no: 0001193125-12-379221 (34 Act)  Size: 32 KB",001-35551121071477
