document_type,description,file_number
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028642 (33 Act)  Size: 279 KB,333-21920618899896
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028652 (33 Act)  Size: 663 KB,333-21920618900127
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-040409 (34 Act)  Size: 512 KB,333-21920618901688
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028672 (33 Act)  Size: 2 MB,333-21920618900338
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-194647 (33 Act)  Size: 128 KB,333-21920618902970
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040483 (33 Act)  Size: 858 KB,333-21920618902893
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-194616 (33 Act)  Size: 128 KB,333-21920618902825
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-194602 (33 Act)  Size: 120 KB,333-21920618902767
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028808 (33 Act)  Size: 2 MB,333-21920618902697
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040477 (33 Act)  Size: 866 KB,333-21920618902782
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000895345-18-000167 Size: 348 KB,
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-194290 (33 Act)  Size: 123 KB,333-21920618901853
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-028752 (34 Act)  Size: 754 KB,333-21920618901749
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-194177 (33 Act)  Size: 118 KB,333-21920618901721
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-028747 (34 Act)  Size: 798 KB,333-21920618901718
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028802 (33 Act)  Size: 555 KB,333-21920618902673
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028923 (33 Act)  Size: 664 KB,333-21920618904109
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028988 (33 Act)  Size: 360 KB,333-21920618905159
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028983 (33 Act)  Size: 464 KB,333-21920618905116
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-195472 (33 Act)  Size: 284 KB,333-21920618904261
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-195358 (33 Act)  Size: 160 KB,333-21920618904100
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028980 (33 Act)  Size: 335 KB,333-21920618905093
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040688 (33 Act)  Size: 876 KB,333-21920618903946
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040512 (33 Act)  Size: 781 KB,333-21920618903257
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028848 (33 Act)  Size: 569 KB,333-21920618903245
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-194699 (33 Act)  Size: 120 KB,333-21920618903232
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-028845 (33 Act)  Size: 2 MB,333-21920618903218
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-195297 (33 Act)  Size: 350 KB,333-21920618903950
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041070 (33 Act)  Size: 816 KB,333-21920618907595
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029139 (33 Act)  Size: 578 KB,333-21920618907597
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029144 (33 Act)  Size: 299 KB,333-21920618907661
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029145 (33 Act)  Size: 2 MB,333-21920618907674
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029148 (33 Act)  Size: 296 KB,333-21920618907691
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029149 (33 Act)  Size: 313 KB,333-21920618907695
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-196967 (33 Act)  Size: 254 KB,333-21920618907736
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029154 (33 Act)  Size: 415 KB,333-21920618907738
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029155 (33 Act)  Size: 822 KB,333-21920618907740
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029161 (33 Act)  Size: 462 KB,333-21920618907799
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029160 (33 Act)  Size: 528 KB,333-21920618907782
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041079 (33 Act)  Size: 816 KB,333-21920618907811
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041082 (33 Act)  Size: 761 KB,333-21920618907855
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029174 (33 Act)  Size: 296 KB,333-21920618907859
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029175 (33 Act)  Size: 436 KB,333-21920618907863
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029177 (33 Act)  Size: 421 KB,333-21920618907870
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041084 (33 Act)  Size: 840 KB,333-21920618907937
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029138 (33 Act)  Size: 2 MB,333-21920618907590
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-196970 (33 Act)  Size: 274 KB,333-21920618907755
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041068 (33 Act)  Size: 844 KB,333-21920618907561
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040997 (33 Act)  Size: 630 KB,333-21920618906539
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-196856 (33 Act)  Size: 268 KB,333-21920618907165
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040847 (33 Act)  Size: 811 KB,333-21920618905534
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-195822 (33 Act)  Size: 165 KB,333-21920618905557
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-195880 (33 Act)  Size: 414 KB,333-21920618905683
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040878 (33 Act)  Size: 863 KB,333-21920618905816
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-196410 (33 Act)  Size: 124 KB,333-21920618906287
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-196474 (33 Act)  Size: 166 KB,333-21920618906389
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040990 (33 Act)  Size: 629 KB,333-21920618906466
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040991 (33 Act)  Size: 633 KB,333-21920618906480
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029129 (33 Act)  Size: 309 KB,333-21920618907386
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-040995 (33 Act)  Size: 607 KB,333-21920618906537
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041002 (33 Act)  Size: 720 KB,333-21920618906636
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-196611 (33 Act)  Size: 689 KB,333-21920618906704
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-196630 (33 Act)  Size: 681 KB,333-21920618906739
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-029079 (34 Act)  Size: 829 KB,333-21920618906754
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-196688 (33 Act)  Size: 649 KB,333-21920618906824
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029095 (33 Act)  Size: 1 MB,333-21920618906913
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029112 (33 Act)  Size: 736 KB,333-21920618907051
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029114 (33 Act)  Size: 358 KB,333-21920618907052
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041044 (33 Act)  Size: 450 KB,333-21920618907087
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001104659-18-041296 (33 Act)  Size: 845 KB,333-21920618910117
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029293 (33 Act)  Size: 566 KB,333-21920618909524
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029274 (33 Act)  Size: 782 KB,333-21920618909420
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-041163 (34 Act)  Size: 821 KB,333-21920618908835
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-041212 (34 Act)  Size: 846 KB,333-21920618909029
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001104659-18-041166 (34 Act)  Size: 778 KB,333-21920618908945
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001140361-18-029192 (33 Act)  Size: 341 KB,333-21920618908162
