document_type,description,file_number
8-K12B,"Notification that a class of securities of successor issuer is deemed to be registered pursuant to section 12(b), items 1.01, 3.03, 5.02, 5.03, 5.05, 8.01, and 9.01
Acc-no: 0001193125-15-336577 (34 Act)  Size: 2 MB",001-37580151140528
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-15-336635 (33 Act)  Size: 227 KB,333-207254151140869
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001652044-15-000003 (34 Act)  Size: 602 KB",001-37580151170516
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-15-000005 (34 Act)  Size: 14 MB,001-37580151183754
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001652044-15-000007 (34 Act)  Size: 34 KB",001-37580151243812
D,"Notice of Exempt Offering of Securities, item 06b
Acc-no: 0000903423-16-000722 (33 Act)  Size: 16 KB",021-254441161318822
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-16-004467 (34 Act)  Size: 13 KB,005-89274161368659
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001652044-16-000010 (34 Act)  Size: 853 KB",001-37580161377262
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-16-011172 (34 Act)  Size: 39 KB,005-89274161403690
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-16-011177 (34 Act)  Size: 39 KB,005-89274161403709
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-16-459851 (34 Act)  Size: 48 KB,005-89274161411793
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-16-459860 (34 Act)  Size: 48 KB,005-89274161411830
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001652044-16-000012 (34 Act)  Size: 19 MB",001-37580161412149
S-3ASR,Automatic shelf registration statement of securities of well-known seasoned issuersAcc-no: 0001193125-16-462591 (33 Act)  Size: 369 KB,333-209518161420095
S-4,"Registration of securities, business combinationsAcc-no: 0001193125-16-462492 (33 Act)  Size: 1 MB",333-209515161419722
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-16-004878 (34 Act)  Size: 9 KB,005-89274161414507
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-16-460514 (34 Act)  Size: 78 KB,005-89274161413794
S-3ASR,Automatic shelf registration statement of securities of well-known seasoned issuersAcc-no: 0001193125-16-462349 (33 Act)  Size: 932 KB,333-209510161419040
10-K/A,"[Amend] Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-16-520367 (34 Act)  Size: 524 KB",001-37580161533561
S-4/A,"[Amend] Registration of securities, business combinationsAcc-no: 0001193125-16-521414 (33 Act)  Size: 600 KB",333-209515161535488
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-16-530269 Size: 8 KB,
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0001193125-16-533744 (33 Act)  Size: 481 KB,333-209515161559943
EFFECT,Notice of EffectivenessAcc-no: 9999999995-16-004161 (33 Act)  Size: 1 KB,333-209515161561229
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-16-537994 (34 Act)  Size: 35 KB",001-37580161566360
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-16-537992 (34 Act)  Size: 35 KB",001-37580161566361
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-16-537999 (34 Act)  Size: 21 KB",001-37580161566362
PRE 14A,Other preliminary proxy statementsAcc-no: 0001308179-16-000354 (34 Act)  Size: 3 MB,001-37580161579400
8-K,"Current report, items 2.02, 8.01, and 9.01
Acc-no: 0001652044-16-000015 (34 Act)  Size: 735 KB",001-37580161584090
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-16-555229 (34 Act)  Size: 18 KB",001-37580161590543
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-16-559672 (34 Act)  Size: 190 KB",001-37580161595933
425,"Prospectuses and communications, business combinationsAcc-no: 0001193125-16-559673 (34 Act)  Size: 191 KB",001-37580161595919
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001308179-16-000385 (34 Act)  Size: 1 MB,001-37580161606578
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001308179-16-000386 (34 Act)  Size: 28 KB,001-37580161606635
DEF 14A,Other definitive proxy statementsAcc-no: 0001308179-16-000384 (34 Act)  Size: 3 MB,001-37580161606518
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-16-000021 (34 Act)  Size: 10 MB,001-37580161613361
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001652044-16-000022 (34 Act)  Size: 18 MB",001-37580161613368
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-16-011213 (34 Act)  Size: 39 KB,001-37580161614847
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-16-011756 (34 Act)  Size: 26 KB,001-37580161678898
POSASR,Post-effective Amendment to an automatic shelf registration statementAcc-no: 0001193125-16-608577 (33 Act)  Size: 17 KB,333-209518161686633
SD,Acc-no: 0001652044-16-000025 (34 Act)  Size: 280 KB,001-37580161686851
PX14A6G,Notice of exempt solicitationAcc-no: 0001214659-16-012004 (34 Act)  Size: 59 KB,001-37580161692057
8-K,"Current report, items 5.02, 5.07, and 9.01
Acc-no: 0001193125-16-619079 (34 Act)  Size: 125 KB",001-37580161708712
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-16-635647 (34 Act)  Size: 39 KB",001-37580161737510
8-K,"Current report, items 2.02, 8.01, and 9.01
Acc-no: 0001652044-16-000029 (34 Act)  Size: 879 KB",001-37580161790112
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-16-668561 (34 Act)  Size: 25 KB,333-209510161801595
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-16-667679 (33 Act)  Size: 386 KB,333-209510161799207
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-16-670237 (33 Act)  Size: 395 KB,333-209510161804696
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-16-000032 (34 Act)  Size: 12 MB,001-37580161807793
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-16-671963 (33 Act)  Size: 159 KB,333-212914161808189
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-16-676835 (34 Act)  Size: 123 KB",001-37580161818456
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001652044-16-000035 (34 Act)  Size: 610 KB",001-37580161955515
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001652044-16-000038 (34 Act)  Size: 12 MB,001-37580161969238
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-16-766130 (33 Act)  Size: 487 KB,333-214573161989299
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-17-001237 (34 Act)  Size: 13 KB,005-8927417536749
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0001652044-17-000005 (34 Act)  Size: 619 KB",001-3758017549717
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-17-002143 (34 Act)  Size: 13 KB,005-8927417555914
S-8 POS,"Securities to be offered to employees in employee benefit plans, post-effective amendmentsAcc-no: 0001193125-17-029210 (33 Act)  Size: 26 KB",333-20725417568760
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-17-029417 (33 Act)  Size: 83 KB,333-21587317569786
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001652044-17-000008 (34 Act)  Size: 16 MB",001-3758017569702
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-17-000672 (34 Act)  Size: 37 KB,005-8927417584144
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-17-001189 (34 Act)  Size: 37 KB,005-8927417589698
