document_type,description,file_number
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007315 (33 Act)  Size: 172 KB,333-22267218893960
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005161 (33 Act)  Size: 554 KB,333-22267218895296
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004787 (33 Act)  Size: 162 KB,333-22267218894263
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005150 (33 Act)  Size: 287 KB,333-22267218894207
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005143 (33 Act)  Size: 193 KB,333-22267218893968
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007316 (33 Act)  Size: 198 KB,333-22267218893995
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005144 (33 Act)  Size: 124 KB,333-22267218893974
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005148 (33 Act)  Size: 150 KB,333-22267218894186
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005242 (33 Act)  Size: 674 KB,333-22267218897517
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005230 (33 Act)  Size: 422 KB,333-22267218897424
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005227 (33 Act)  Size: 193 KB,333-22267218897251
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005225 (33 Act)  Size: 380 KB,333-22267218897140
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005224 (33 Act)  Size: 233 KB,333-22267218897136
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-191351 (33 Act)  Size: 524 KB,333-20968118896220
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005204 (34 Act)  Size: 1 MB,333-22267218896106
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007362 (33 Act)  Size: 296 KB,333-22267218896728
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005200 (34 Act)  Size: 1 MB,333-22267218896099
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005198 (34 Act)  Size: 1 MB,333-22267218896093
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005196 (34 Act)  Size: 1 MB,333-22267218896089
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005194 (34 Act)  Size: 1 MB,333-22267218896087
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005192 (34 Act)  Size: 1 MB,333-22267218896079
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005190 (34 Act)  Size: 1 MB,333-22267218896076
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005188 (34 Act)  Size: 1 MB,333-22267218896070
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005162 (33 Act)  Size: 287 KB,333-22267218895394
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005202 (34 Act)  Size: 1 MB,333-22267218896102
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005268 (33 Act)  Size: 858 KB,333-22267218898629
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005306 (33 Act)  Size: 245 KB,333-22267218899998
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005285 (33 Act)  Size: 290 KB,333-22267218899123
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004807 (33 Act)  Size: 106 KB,333-22267218898949
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005280 (33 Act)  Size: 838 KB,333-22267218898898
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005278 (33 Act)  Size: 445 KB,333-22267218898855
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005266 (33 Act)  Size: 632 KB,333-22267218898521
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005246 (33 Act)  Size: 542 KB,333-22267218897708
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005264 (33 Act)  Size: 496 KB,333-22267218898461
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005261 (33 Act)  Size: 572 KB,333-22267218898412
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007386 (33 Act)  Size: 160 KB,333-22267218897813
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007384 (33 Act)  Size: 163 KB,333-22267218897756
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005247 (33 Act)  Size: 410 KB,333-22267218897719
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007383 (33 Act)  Size: 172 KB,333-22267218897706
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005265 (33 Act)  Size: 454 KB,333-22267218898506
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004823 (33 Act)  Size: 257 KB,333-22267218901838
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005377 (33 Act)  Size: 459 KB,333-22267218903155
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005367 (33 Act)  Size: 378 KB,333-22267218902932
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005366 (33 Act)  Size: 233 KB,333-22267218902907
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005356 (33 Act)  Size: 513 KB,333-22267218902368
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005341 (33 Act)  Size: 350 KB,333-22267218901729
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007430 (33 Act)  Size: 206 KB,333-22267218900459
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005332 (33 Act)  Size: 244 KB,333-22267218901269
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005330 (33 Act)  Size: 269 KB,333-22267218901236
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004820 (33 Act)  Size: 131 KB,333-22267218901227
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007434 (33 Act)  Size: 197 KB,333-22267218900602
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004815 (33 Act)  Size: 214 KB,333-22267218900426
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005336 (33 Act)  Size: 901 KB,333-22267218901418
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007513 (33 Act)  Size: 217 KB,333-22267218905519
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004829 (33 Act)  Size: 103 KB,333-22267218904668
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005405 (33 Act)  Size: 336 KB,333-22267218904482
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007490 (33 Act)  Size: 157 KB,333-22267218904129
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-18-195682 (34 Act)  Size: 24 KB",001-0580518904829
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005395 (33 Act)  Size: 247 KB,333-22267218903906
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005394 (33 Act)  Size: 376 KB,333-22267218903860
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005386 (33 Act)  Size: 445 KB,333-22267218903352
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005384 (33 Act)  Size: 210 KB,333-22267218903300
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005382 (33 Act)  Size: 540 KB,333-22267218903198
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005398 (33 Act)  Size: 376 KB,333-22267218904010
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005486 (33 Act)  Size: 861 KB,333-22267218906864
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005489 (33 Act)  Size: 511 KB,333-22267218906938
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004852 (33 Act)  Size: 139 KB,333-22267218906952
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005491 (33 Act)  Size: 244 KB,333-22267218906957
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005493 (33 Act)  Size: 360 KB,333-22267218906998
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005499 (33 Act)  Size: 405 KB,333-22267218907555
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005495 (33 Act)  Size: 315 KB,333-22267218907291
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005502 (33 Act)  Size: 379 KB,333-22267218907874
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005509 (33 Act)  Size: 236 KB,333-22267218907994
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005481 (33 Act)  Size: 528 KB,333-22267218906701
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005494 (33 Act)  Size: 445 KB,333-22267218907264
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005480 (33 Act)  Size: 401 KB,333-22267218906699
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005473 (33 Act)  Size: 192 KB,333-22267218906558
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004846 (33 Act)  Size: 118 KB,333-22267218906607
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005475 (33 Act)  Size: 462 KB,333-22267218906567
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005474 (33 Act)  Size: 298 KB,333-22267218906562
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005446 (33 Act)  Size: 299 KB,333-22267218905608
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005472 (33 Act)  Size: 451 KB,333-22267218906546
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004844 (33 Act)  Size: 159 KB,333-22267218906512
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005468 (33 Act)  Size: 409 KB,333-22267218906458
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005467 (33 Act)  Size: 1 MB,333-22267218906450
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005466 (33 Act)  Size: 640 KB,333-22267218906445
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007522 (33 Act)  Size: 110 KB,333-22267218905797
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005449 (33 Act)  Size: 393 KB,333-22267218905699
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004847 (33 Act)  Size: 166 KB,333-22267218906612
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005529 (33 Act)  Size: 218 KB,333-22267218909065
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005536 (33 Act)  Size: 110 KB,333-22267218909397
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005521 (33 Act)  Size: 447 KB,333-22267218908816
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007577 (33 Act)  Size: 281 KB,333-22267218908243
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005527 (33 Act)  Size: 280 KB,333-22267218909035
8-K,"Current report, items 7.01 and 9.01
Acc-no: 0000019617-18-000140 (34 Act)  Size: 3 MB",001-0580518912334
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005563 (33 Act)  Size: 154 KB,333-22267218911472
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005559 (33 Act)  Size: 555 KB,333-22267218911413
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005561 (33 Act)  Size: 144 KB,333-22267218911447
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007633 (33 Act)  Size: 175 KB,333-22267218911233
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007632 (33 Act)  Size: 208 KB,333-22267218911206
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005549 (33 Act)  Size: 402 KB,333-22267218910338
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005548 (33 Act)  Size: 351 KB,333-22267218910313
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005558 (33 Act)  Size: 188 KB,333-22267218911409
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005619 (33 Act)  Size: 215 KB,333-22267218914517
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005618 (33 Act)  Size: 226 KB,333-22267218914329
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004901 (33 Act)  Size: 289 KB,333-22267218914140
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005609 (33 Act)  Size: 458 KB,333-22267218913888
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005607 (33 Act)  Size: 319 KB,333-22267218913784
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004896 (33 Act)  Size: 833 KB,333-22267218913612
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005605 (33 Act)  Size: 536 KB,333-22267218913555
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005589 (33 Act)  Size: 558 KB,333-22267218912874
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005588 (33 Act)  Size: 559 KB,333-22267218912873
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005586 (33 Act)  Size: 454 KB,333-22267218912846
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005585 (33 Act)  Size: 453 KB,333-22267218912840
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005576 (33 Act)  Size: 297 KB,333-22267218912675
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004895 (33 Act)  Size: 269 KB,333-22267218913608
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005658 (33 Act)  Size: 352 KB,333-22267218917639
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005653 (33 Act)  Size: 168 KB,333-22267218917093
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005647 (33 Act)  Size: 502 KB,333-22267218916909
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005642 (33 Act)  Size: 261 KB,333-22267218916798
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005636 (33 Act)  Size: 590 KB,333-22267218916511
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005635 (33 Act)  Size: 412 KB,333-22267218916506
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005631 (33 Act)  Size: 111 KB,333-22267218916235
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005628 (33 Act)  Size: 471 KB,333-22267218915638
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005641 (33 Act)  Size: 186 KB,333-22267218916736
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005711 (33 Act)  Size: 457 KB,333-22267218919279
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004935 (33 Act)  Size: 277 KB,333-22267218919133
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005705 (33 Act)  Size: 251 KB,333-22267218919229
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005709 (33 Act)  Size: 458 KB,333-22267218919272
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007746 (33 Act)  Size: 332 KB,333-22267218919275
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005712 (33 Act)  Size: 398 KB,333-22267218919288
