document_type,description,file_number
10-12B,Registration of securities [Section 12(b)]Acc-no: 0000950123-98-003870 Size: 930 KB,001-1403798595180
10-12B/A,[Amend] Registration of securities [Section 12(b)]Acc-no: 0000950123-98-005378 Size: 764 KB,001-1403798630380
10-12B/A,[Amend] Registration of securities [Section 12(b)]Acc-no: 0000950123-98-006062 Size: 1 MB,001-1403798650207
8-A12B,Registration of securities [Section 12(b)]Acc-no: 0000950123-98-006074 Size: 190 KB,001-1403798650522
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000893750-98-000175 Size: 28 KB,333-5726798651077
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000893750-98-000195 Size: 27 KB,333-5791598655543
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000893750-98-000254 Size: 27 KB,333-6073798677858
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-98-007585 Size: 1 MB,001-1403798687987
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000893750-98-000289 Size: 27 KB,333-6465398717635
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001059556-98-000003 Size: 86 KB,001-1403798731156
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000893750-98-000356 Size: 27 KB,333-6855598765817
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950144-99-001461 Size: 35 KB,005-5547599532402
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000950123-99-001236 Size: 299 KB",001-1403799542293
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000872323-99-000024 Size: 8 KB,005-5547599548322
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000813917-99-000041 Size: 11 KB,005-5547599548311
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-99-002084 Size: 237 KB,001-1403799563720
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001059556-99-000003 Size: 80 KB,001-1403799609747
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000893750-99-000299 Size: 26 KB,333-8112199649111
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001059556-99-000005 Size: 52 KB",001-1403799655481
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001059556-99-000009 Size: 85 KB,001-1403799668240
SC 13D,General statement of acquisition of beneficial ownershipAcc-no: 0000813917-99-000063 Size: 23 KB,005-5547599703268
SC 13D,General statement of acquisition of beneficial ownershipAcc-no: 0000813917-99-000065 Size: 23 KB,005-5547599714252
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001059556-99-000012 Size: 107 KB,001-1403799731352
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000813917-99-000067 Size: 20 KB,005-5547599731894
8-K,"Current report, item 5
Acc-no: 0000893750-99-000595 Size: 14 KB",001-1403799734013
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000813917-99-000068 Size: 30 KB,005-5547599743388
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0000813917-99-000070 Size: 26 KB,005-5547599750607
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000813917-99-000074 Size: 12 KB,005-5547599783928
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000813917-99-000073 Size: 10 KB,005-5547599783344
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950144-00-001273 Size: 35 KB,005-55475523164
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000813917-00-000031 Size: 9 KB,005-55475525270
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000898430-00-000482 Size: 21 KB,005-55475544059
10-K405,"Annual report [Sections 13 and 15(d), S-K Item 405]Acc-no: 0000950123-00-001384 Size: 537 KB",001-14037547578
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000898430-00-000744 Size: 28 KB,005-55475566475
DEF 14A,Other definitive proxy statementsAcc-no: 0000950123-00-002150 Size: 114 KB,001-14037565650
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001059556-00-000002 Size: 65 KB,001-14037603655
8-K,"Current report, item 5
Acc-no: 0000950123-00-005422 Size: 5 KB",001-14037643153
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001059556-00-000009 Size: 40 KB",001-14037662296
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000813917-00-000049 Size: 9 KB,005-55475686668
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001059556-00-000011 Size: 211 KB,001-14037699334
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000813917-00-000054 Size: 9 KB,005-55475719559
8-K,"Current report, items 5 and 7
Acc-no: 0000893750-00-000391 Size: 184 KB",001-14037732713
8-K,"Current report, items 5 and 7
Acc-no: 0000950123-00-009095 Size: 1 MB",001-14037734467
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0000893750-00-000410 Size: 27 KB,333-47848739160
8-K,"Current report, items 5 and 7
Acc-no: 0000950123-00-010122 Size: 45 KB",001-14037754960
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000898430-00-003294 Size: 28 KB,005-55475757285
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0000950123-00-010645 Size: 374 KB,001-14037769115
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000950144-01-000929 Size: 9 KB,005-554751505371
